,locName,catName,rating,noOfReviews,distance
0,The Wilson Street Pantry,cafes,4.5,86,48.99983580415026
1,Paesano Pizza,pizza,4.5,150,359.68979202749676
2,Café Gandolfi,seafood,4.5,67,85.93842446775136
3,The Pot Still,pubs,4.5,127,928.0676458871758
4,Bread Meats Bread,burgers,4.0,176,776.8929034161413
5,BrewDog DogHouse,pubs,4.5,48,206.2587797260472
6,Riverhill Coffee Bar,coffee,4.5,84,698.7598708361669
7,The Butterfly and the Pig,scottish,4.5,257,1174.3067912242104
8,13th Note,bars,4.0,85,252.88175106325806
9,Mono,bars,4.0,86,280.8064452624766
10,The Dhabba,indpak,4.0,54,15.97287539354508
11,Blackfriars,pubs,4.0,59,54.506141062093064
12,Trans-Europe Café,modern_european,4.5,42,216.88929161459032
13,Hutchesons Bar & Brasserie,scottish,4.0,51,225.3515957590883
14,Stereo,bars,4.5,99,846.7295656891306
15,Tempo Tea Bar,bubbletea,4.5,37,448.44683561537397
16,Spitfire Espresso,coffee,4.5,34,137.14638395380337
17,Drygate Brewing Co,breweries,4.0,82,766.7344119644806
18,Gandolfi Fish To Go,seafood,4.5,28,106.09317376756032
19,Russian Cafe-Gallery Cossachok,russian,4.5,32,157.01293187097838
20,Ubiquitous Chip,bars,4.5,152,477.5428933848497
21,Glasgow Botanic Gardens,parks,4.5,56,213.25365821929327
22,Papercup Coffee Company,breakfast_brunch,4.5,64,291.46607461047427
23,Cail Bruich West,scottish,4.5,36,96.92415555328824
24,Oran Mor,pubs,3.5,130,107.18836836235869
25,Stravaigin,scottish,4.5,98,741.7395168561117
26,Cottonrake,bakeries,4.5,42,528.8185370273635
27,The Hanoi Bike Shop,vietnamese,4.0,117,490.3100203677502
28,Hillhead Bookclub,bars,4.0,71,196.89625402506962
29,Kember & Jones,breakfast_brunch,4.5,51,689.7899906353798
30,Dumpling Monkey,dimsum,4.5,93,1094.7458122591822
31,Ashoka,indpak,4.5,42,457.0120597779826
32,Bread Meats Bread,burgers,4.5,17,111.31016773685108
33,Inn Deep,pubs,4.0,51,607.5543238240871
34,Little Italy,hotdogs,4.0,58,577.6387613607544
35,Brel,belgian,4.0,72,515.2901383565456
36,Number 16 Restaurant,british,4.5,48,1051.8884634235226
37,Tchai-Ovna House of Tea,vegetarian,4.0,63,746.0939834308399
38,The Belle,pubs,4.0,30,258.68801196440756
39,The Left Bank,wine_bars,4.0,65,738.5426533922256
40,The Butterfly and the Pig,scottish,4.5,257,684.4631144984301
41,The Pot Still,pubs,4.5,127,906.3301033738607
42,Singl-end Garnethill,cafes,4.5,64,297.423784013592
43,Ox And Finch,tapasmallplates,4.5,98,806.9278486723982
44,Nanakusa,japanese,4.0,72,192.64169336746573
45,Chinaski's,bars,4.5,43,143.36382210302025
46,Where The Monkey Sleeps,coffee,4.5,68,639.6778539504198
47,Two Fat Ladies at The Buttery,seafood,4.5,48,430.6948302428464
48,Bread Meats Bread,burgers,4.0,176,1030.9266456376097
49,Bon Accord,pubs,4.5,37,70.68889375842129
50,Nice N Sleazy,bars,4.0,79,225.24896706447393
51,King Tut's Wah Wah Hut,pubs,4.5,66,490.070708903984
52,McPhabbs,pubs,4.0,47,330.7259346198341
53,Mother India,indpak,4.5,71,754.946200847398
54,Bloc+,pubs,4.0,92,782.2336865136502
55,Cubatas Tapas Bar,spanish,4.5,32,253.73963902297567
56,The Tiki Bar & Kitsch Inn,thai,4.0,64,467.3688109046142
57,Sichuan House,chinese,4.5,35,424.6093156088403
58,Stereo,bars,4.5,99,956.416416225269
59,The Hidden Lane Tearoom,tea,4.5,62,732.5744978185706
60,Paesano Pizza,pizza,4.5,150,704.6688944876482
61,The Wilson Street Pantry,cafes,4.5,86,586.5935809018404
62,Café Gandolfi,seafood,4.5,67,565.5850677594572
63,Bread Meats Bread,burgers,4.0,176,971.4556014119994
64,Drygate Brewing Co,breweries,4.0,82,553.5785137695843
65,Riverhill Coffee Bar,coffee,4.5,84,970.9444883316579
66,BrewDog DogHouse,pubs,4.5,48,593.2857928876651
67,Hutchesons Bar & Brasserie,scottish,4.0,51,547.4418676242259
68,Tempo Tea Bar,bubbletea,4.5,37,794.7610591682771
69,13th Note,bars,4.0,85,855.7107219131824
70,Spitfire Espresso,coffee,4.5,34,482.8243006348198
71,Blackfriars,pubs,4.0,59,603.8253295417503
72,Mono,bars,4.0,86,873.9764577518573
73,The Dhabba,indpak,4.0,54,620.155318665401
74,Laboratorio Espresso,coffee,4.5,44,861.2846322393282
75,Trans-Europe Café,modern_european,4.5,42,801.833545985247
76,Chaakoo Bombay Cafe,indpak,4.5,33,946.6972184992176
77,Nippon Kitchen,japanese,4.0,77,882.3576115668385
78,Gandolfi Fish To Go,seafood,4.5,28,527.5412371330904
79,Ichiban,japanese,4.0,74,821.614480263151
80,Paesano Pizza,pizza,4.5,150,947.0831514777258
81,The Wilson Street Pantry,cafes,4.5,86,1044.8196480569109
